route_id,direction_id,time_slot,sched_headway_min,sd_headway_min,n_departures,route_short_name,transport_type,n_vehicles,total_capacity,n_ctrl_points,peak
2_23,0,день,19.227272727272727,9.37540763904527,22,24,тролейбус,29,5172,4,FALSE
2_23,0,ранковий пік,12.285714285714286,4.581376538662915,14,24,тролейбус,29,5172,4,TRUE
2_23,1,вечір/ніч,23.2,5.370702416299422,10,24,тролейбус,29,5172,4,FALSE
2_23,1,вечірній пік,15.90909090909091,6.934760925288563,11,24,тролейбус,29,5172,4,TRUE
2_23,1,день,25.529411764705884,6.568082359589665,17,24,тролейбус,29,5172,4,FALSE
2_23,1,ранковий пік,15.1,4.863697724525606,10,24,тролейбус,29,5172,4,TRUE
2_25,0,вечір/ніч,15.588235294117649,7.9140604585242125,17,25,тролейбус,30,5354,3,FALSE
2_25,0,вечірній пік,17.181818181818183,2.926369143432927,11,25,тролейбус,30,5354,3,TRUE
2_25,0,день,17.083333333333332,7.592425668798601,24,25,тролейбус,30,5354,3,FALSE
2_25,0,ранковий пік,15.538461538461538,6.319485535698095,13,25,тролейбус,30,5354,3,TRUE
2_25,1,вечір/ніч,21.11111111111111,5.644564740625367,9,25,тролейбус,30,5354,3,FALSE
2_25,1,вечірній пік,18,3.265986323710904,10,25,тролейбус,30,5354,3,TRUE
2_25,1,день,23.27777777777778,4.884616374310577,18,25,тролейбус,30,5354,3,FALSE
2_25,1,ранковий пік,16.90909090909091,3.4191971412758715,11,25,тролейбус,30,5354,3,TRUE
2_26,0,вечір/ніч,16.58823529411765,8.775383350097957,17,26,тролейбус,26,3861,4,FALSE
2_26,0,вечірній пік,27.333333333333332,12.33963802818651,6,26,тролейбус,26,3861,4,TRUE
2_26,0,день,25.25,5.531726674375733,16,26,тролейбус,26,3861,4,FALSE
2_26,0,ранковий пік,23.875,7.936128959205669,8,26,тролейбус,26,3861,4,TRUE
2_26,1,вечір/ніч,20.875,6.197637798848388,8,26,тролейбус,26,3861,4,FALSE
2_26,1,вечірній пік,25.142857142857142,5.9281411203561225,7,26,тролейбус,26,3861,4,TRUE
2_26,1,день,26.25,6.913754406977442,16,26,тролейбус,26,3861,4,FALSE
2_26,1,ранковий пік,25.714285714285715,5.879747322073337,7,26,тролейбус,26,3861,4,TRUE
2_27,0,вечір/ніч,10.379310344827585,5.646830926049509,29,27,тролейбус,48,6453,6,FALSE
2_27,0,вечірній пік,9.15,3.1334359818945683,20,27,тролейбус,48,6453,6,TRUE
2_27,0,день,12.057142857142857,5.875887202811849,35,27,тролейбус,48,6453,6,FALSE
2_27,0,ранковий пік,8.380952380952381,2.69214023550391,21,27,тролейбус,48,6453,6,TRUE
2_27,1,вечір/ніч,16.46153846153846,0.7762500258061847,13,27,тролейбус,48,6453,6,FALSE
2_27,1,вечірній пік,11.466666666666667,3.377798663260409,15,27,тролейбус,48,6453,6,TRUE
2_27,1,день,16,4.427188724235731,26,27,тролейбус,48,6453,6,FALSE
2_27,1,ранковий пік,12.666666666666668,3.903600291794133,15,27,тролейбус,48,6453,6,TRUE
2_28,0,вечір/ніч,22.666666666666668,5.898125023079689,12,28,тролейбус,29,4770,3,FALSE
2_28,0,вечірній пік,23.25,6.943650748294136,8,28,тролейбус,29,4770,3,TRUE
2_28,0,день,26.933333333333334,7.136092034426792,15,28,тролейбус,29,4770,3,FALSE
2_28,0,ранковий пік,21,6.48074069840786,9,28,тролейбус,29,4770,3,TRUE
2_28,1,вечір/ніч,26.25,3.4121631178560534,8,28,тролейбус,29,4770,3,FALSE
2_28,1,вечірній пік,27.5,2.258317958127243,6,28,тролейбус,29,4770,3,TRUE
2_28,1,день,28.133333333333333,5.040786030920555,15,28,тролейбус,29,4770,3,FALSE
2_28,1,ранковий пік,24.714285714285715,9.72478424292429,7,28,тролейбус,29,4770,3,TRUE
2_29,0,вечір/ніч,18.857142857142858,7.684721533988402,14,29,тролейбус,45,8110,5,FALSE
2_29,0,вечірній пік,15.5,9.307865686416175,12,29,тролейбус,45,8110,5,TRUE
2_29,0,день,18.818181818181817,7.6571557795329355,22,29,тролейбус,45,8110,5,FALSE
2_29,0,ранковий пік,15.25,8.04673846971554,12,29,тролейбус,45,8110,5,TRUE
2_29,1,вечір/ніч,26.666666666666668,8.846845012017937,6,29,тролейбус,45,8110,5,FALSE
2_29,1,вечірній пік,41.75,9.673847907287634,4,29,тролейбус,45,8110,5,TRUE
2_29,1,день,25.294117647058822,7.856245174082471,17,29,тролейбус,45,8110,5,FALSE
2_29,1,ранковий пік,32.2,23.79495744900587,5,29,тролейбус,45,8110,5,TRUE
2_3,0,вечір/ніч,14.8,8.023649255072224,20,11,тролейбус,28,2880,6,FALSE
2_3,0,вечірній пік,24.285714285714285,3.450327796711771,7,11,тролейбус,28,2880,6,TRUE
2_3,0,день,20.6,5.374403271649403,20,11,тролейбус,28,2880,6,FALSE
2_3,0,ранковий пік,16.90909090909091,5.521857395017467,11,11,тролейбус,28,2880,6,TRUE
2_3,1,вечір/ніч,24.857142857142858,6.011892975000232,7,11,тролейбус,28,2880,6,FALSE
2_3,1,вечірній пік,23.714285714285715,2.563479777846623,7,11,тролейбус,28,2880,6,TRUE
2_3,1,день,18.26086956521739,8.0747495953539,23,11,тролейбус,28,2880,6,FALSE
2_3,1,ранковий пік,19.5,3.7490739597339973,10,11,тролейбус,28,2880,6,TRUE
2_30,0,вечір/ніч,15.555555555555555,8.375189003817956,18,3,тролейбус,36,4961,5,FALSE
2_30,0,вечірній пік,20.444444444444443,3.0459444804161775,9,3,тролейбус,36,4961,5,TRUE
2_30,0,день,19.666666666666668,5.304086474910957,21,3,тролейбус,36,4961,5,FALSE
2_30,0,ранковий пік,17.8,2.485513584307633,10,3,тролейбус,36,4961,5,TRUE
2_30,1,вечір/ніч,21.11111111111111,3.3333333333333335,9,3,тролейбус,36,4961,5,FALSE
2_30,1,вечірній пік,20.22222222222222,3.4560735588879536,9,3,тролейбус,36,4961,5,TRUE
2_30,1,день,21.2,2.9664793948382657,20,3,тролейбус,36,4961,5,FALSE
2_30,1,ранковий пік,17.9,2.7264140062238043,10,3,тролейбус,36,4961,5,TRUE
2_31,0,вечір/ніч,12.32,7.967224527190549,25,30,тролейбус,45,8189,8,FALSE
2_31,0,вечірній пік,20,1,9,30,тролейбус,45,8189,8,TRUE
2_31,0,день,14.5,6.51209700537449,28,30,тролейбус,45,8189,8,FALSE
2_31,0,ранковий пік,19.2,3.5839146815241634,10,30,тролейбус,45,8189,8,TRUE
2_31,1,вечір/ніч,20.333333333333332,1.9364916731037085,9,30,тролейбус,45,8189,8,FALSE
2_31,1,вечірній пік,22.5,6.48074069840786,8,30,тролейбус,45,8189,8,TRUE
2_31,1,день,20.7,1.0310954828418373,20,30,тролейбус,45,8189,8,FALSE
2_31,1,ранковий пік,20.333333333333332,3.427827300200522,9,30,тролейбус,45,8189,8,TRUE
2_33,0,вечір/ніч,11.666666666666668,7.52772652709081,24,31,тролейбус,49,8925,6,FALSE
2_33,0,вечірній пік,9.578947368421053,4.15419185179506,19,31,тролейбус,49,8925,6,TRUE
2_33,0,день,14.2,8.087453032427709,30,31,тролейбус,49,8925,6,FALSE
2_33,0,ранковий пік,9.473684210526315,4.299462770737649,19,31,тролейбус,49,8925,6,TRUE
2_33,1,вечір/ніч,17.5,5.205766033928148,6,31,тролейбус,49,8925,6,FALSE
2_33,1,вечірній пік,20.444444444444443,18.901792977857358,9,31,тролейбус,49,8925,6,TRUE
2_33,1,день,15.407407407407408,9.07769565498637,27,31,тролейбус,49,8925,6,FALSE
2_33,1,ранковий пік,14.461538461538462,11.428147885924654,13,31,тролейбус,49,8925,6,TRUE
2_34,0,вечір/ніч,17.22222222222222,4.479437406318363,18,32,тролейбус,15,2760,3,FALSE
2_34,0,вечірній пік,18.5,2.41522945769824,10,32,тролейбус,15,2760,3,TRUE
2_34,0,день,20,4.0743097574926725,21,32,тролейбус,15,2760,3,FALSE
2_34,0,ранковий пік,17,3.496029493900505,10,32,тролейбус,15,2760,3,TRUE
2_34,1,вечір/ніч,19.23076923076923,1.8776690404970273,13,32,тролейбус,15,2760,3,FALSE
2_34,1,вечірній пік,17.5,2.6352313834736494,10,32,тролейбус,15,2760,3,TRUE
2_34,1,день,20.714285714285715,1.7928429140015913,21,32,тролейбус,15,2760,3,FALSE
2_34,1,ранковий пік,17.77777777777778,4.409585518440984,9,32,тролейбус,15,2760,3,TRUE
2_35,0,вечір/ніч,31.428571428571427,12.447987024108794,7,34,тролейбус,12,2117,5,FALSE
2_35,0,вечірній пік,51.5,6.60807586719967,4,34,тролейбус,12,2117,5,TRUE
2_35,0,день,44.44444444444444,7.891627067834476,9,34,тролейбус,12,2117,5,FALSE
2_35,0,ранковий пік,43.25,5.377421934967226,4,34,тролейбус,12,2117,5,TRUE
2_35,1,вечір/ніч,36.666666666666664,7.637626158259733,3,34,тролейбус,12,2117,5,FALSE
2_35,1,вечірній пік,45,9.128709291752768,4,34,тролейбус,12,2117,5,TRUE
2_35,1,день,46,8.919392106839767,10,34,тролейбус,12,2117,5,FALSE
2_35,1,ранковий пік,45,5,3,34,тролейбус,12,2117,5,TRUE
2_36,0,вечір/ніч,16.055555555555557,8.868133447894952,18,35,тролейбус,34,3565,5,FALSE
